LAESTAB,schools_facing_cuts
8453342,
8853205,
9193008,
8554004,
8232154,0
9192193,
9192053,
9382238,1
9432708,
8653161,
8503003,
9262198,
2033657,
2062852,
2102123,
8402321,
8815236,1
2063643,
8462043,
8462079,
2042861,
8866915,
2042489,
2042155,
2042120,
2123320,
8253065,
8963133,
8153005,
8512694,
9262107,
8812839,
8152188,
8463305,
2132004,
3152004,
2085404,
9354010,
9192036,
8882156,
8154041,
2132418,
8502753,1
3332146,0
3822148,0
3722055,1
3542021,1
3922062,1
8022273,0
3552096,0
3332075,0
3303323,1
3302238,1
8863312,1
3302079,1
8933012,0
3922080,1
8932088,0
9382052,1
8882188,1
8844015,1
9083300,1
8853093,0
3442263,1
3432008,0
8853400,0
3722095,1
8454035,1
9294370,0
9294404,0
9294332,0
8884801,1
3902228,1
8222128,1
9353010,0
9404015,1
9082703,0
8402397,0
8862286,1
3822047,1
3035200,1
3035201,1
9412143,1
8073388,1
9082452,1
8553028,0
8552141,1
8862686,1
9082021,0
3842010,1
9082022,0
8652017,0
9362028,1
9362027,1
9362024,1
9082031,1
9312009,1
8132005,0
9082026,1
3732020,1
3712001,1
9362023,1
3842011,1
8712005,1
9082024,1
8552055,1
9252018,1
3522017,1
3732339,0
8452128,1
8662001,1
8613411,0
8612092,1
8663464,1
9313232,0
8913792,1
8932007,0
8232000,1
8612069,1
9312596,1
9313222,1
8232040,1
8102016,1
8012093,0
8012092,1
8102566,1
3842179,1
8662210,1
9313239,0
8852919,1
8815420,1
9313230,1
9433556,1
9333283,1
8615400,1
8922077,1
8662209,0
9312572,0
8613453,0
8613416,1
8613488,0
8613412,1
3173507,0
8854003,1
8652018,1
3362009,1
8012089,1
8792002,1
9384008,1
2122006,1
8662014,1
9372025,1
9372023,0
3562010,1
9334004,1
3734006,1
9412153,1
3832014,1
3404001,1
8452010,1
8012094,1
9332013,1
2042002,1
3572009,1
3572010,1
3804021,1
9253036,0
8952142,1
3032058,1
8083317,1
9082629,1
3735202,1
3733423,1
8692001,0
3733401,1
8102822,1
3062066,1
3062064,1
8862039,0
8862038,1
8862037,1
8862036,1
8952141,1
3202037,1
8602008,1
8602007,0
9372022,1
9374006,0
9412152,1
8924003,1
8252017,0
8812097,0
8742003,1
3314001,1
9264011,1
3302165,1
9262053,1
9412151,1
8402015,1
3802018,1
8912014,1
9352031,1
3712002,1
8812098,1
3722011,1
3832013,1
8912015,1
8812100,1
3062061,1
8862034,0
3822017,1
8742004,1
3122028,1
3122027,1
8732023,0
8452009,0
8452008,0
8602006,1
8812099,1
8702015,1
3312014,1
8734008,1
3192011,1
8522404,1
3332057,1
9372059,1
3522113,0
8603477,0
8903814,1
9373594,1
3324800,1
9373007,0
8902211,1
8604112,1
9403513,1
8112728,1
9364190,1
3722111,1
3722093,1
3522141,1
8613403,1
9373047,1
8613405,1
3302140,1
3132005,1
8604090,1
9352113,1
9372642,1
9373072,1
8613487,0
8613402,1
8614711,1
8613400,1
3323302,1
8603462,1
8613406,1
3323304,1
3582018,1
3332061,1
3062109,1
8653366,0
3802195,1
3055206,1
3593022,1
3842078,1
9362489,1
8952165,1
3055203,1
3914714,1
3052000,1
8782003,1
3802114,1
8232051,1
9402088,1
9402080,1
8082355,1
8912310,1
9383374,1
9362373,1
3545401,1
8803618,1
9372042,0
3843003,1
3722139,1
8954121,1
3812027,0
9384001,1
8794185,1
3364006,1
8554026,1
8552326,1
3532022,1
8503365,1
8962307,1
2112001,1
8553067,1
9403082,0
9413344,0
8663461,1
3302141,1
9332021,1
9312573,1
3023519,0
8102045,1
3822002,1
9082019,1
8922183,1
8553008,1
8102002,0
8233306,1
8652016,0
8652015,0
2122003,0
2104002,1
9332012,1
3732019,1
9193406,1
3732018,1
8922907,0
3032080,1
3302460,0
8815213,1
8033439,0
8852127,1
3055204,1
9362440,1
9313246,0
8552009,1
8552070,0
9362932,1
9194146,0
3314034,1
8102289,0
8102441,1
8102403,1
3702136,1
8022001,1
8872008,1
9252016,1
8682001,1
8102015,0
8842002,1
8504007,1
8812096,1
8674000,1
8812095,1
8452007,0
8952001,1
8732022,0
8732020,1
3812005,0
3722085,1
8102014,1
8862030,0
9252015,1
8872007,1
9264009,1
9262052,1
2072001,1
2074000,1
8502038,1
2044003,1
3062045,0
3062040,1
8252015,1
8862029,1
9384007,1
9372019,1
3352017,1
8602005,1
9402142,1
9402139,1
9412126,1
9366572,0
3052079,1
3052042,0
3052084,1
3032046,1
3522073,1
9192344,1
9192390,0
3302299,1
8393686,1
3062057,1
3524256,1
8552072,1
3942139,1
8655224,0
8914756,1
8514320,1
8552000,1
8782036,0
9263054,0
9384065,1
8062318,1
8922099,1
8793762,1
3053000,1
8012044,0
8913766,1
8793761,1
8552367,1
8952174,1
9372026,0
9382212,1
8253036,1
8832942,1
8512000,0
3132020,1
3062103,1
3045406,1
8102164,1
8062347,1
8854438,1
8794002,1
9214002,1
8962005,0
9262055,1
3522025,1
3824004,1
8912020,1
3362012,1
3102001,1
